character,romaji,meaning
現像,genzou,developing (film)
原則,gensoku,"principle, general rule"
見地,kenchi,point of view
現地,genchi,"actual place, local"
限定,gentei,"limit, restriction"
原点,genten,"origin (coordinates, starting point)"
原典,genten,"original, source"
原爆,gembaku,atomic bomb
原文,gembun,"the text, original"
厳密,gemmitsu,"strict, close"
賢明,kemmei,"wisdom, intelligence, prudence"
倹約,kenyaku,"thrift, economy, frugality"
原油,genyu,crude oil
兼用,kenyou,"multi-use, combined use"
権力,kenryoku,"(political) power, authority, influence"
言論,genron,"discussion, speech"
故~,ko~,"deceased, late"
語彙,goi,"vocabulary, glossary"
恋する,koisuru,"to fall in love with, to love"
甲,kou,1st in rank; shell
~光,~kou,light
好意,koui,"good will, favor, courtesy"
行為,koui,"act, deed, conduct"
合意,goui,"agreement, consent, mutual understanding"
工学,kougaku,engineering
抗議,kougi,"protest, objection"
合議,gougi,"consultation, conference"
皇居,koukyo,Imperial Palace
好況,koukyou,"prosperous conditions, healthy economy"
鉱業,kougyou,mining industry
興業,kougyou,starting a business; industry
高原,kougen,"tableland, plateau"
交互,kougo,"mutual, reciprocal, alternate"
煌々と,koukouto,brightly
考古学,koukogaku,archeology
工作,kousaku,"handicraft, maneuvering"
耕作,kousaku,"cultivation, farming"
鉱山,kouzan,mine
講習,koushuu,"short course, training"
口述,koujutsu,verbal statement
控除,koujo,"subsidy, deduction"
交渉,koushou,negotiation
高尚,koushou,"high, noble, refined"
向上,koujou,"rise, improvement, progress"
行進,koushin,"march, parade"
香辛料,koushinryou,spices
降水,kousui,"rainfall, precipitation"
洪水,kouzui,flood
合成,gousei,"synthetic, mixed"
公然,kouzen,openly
抗争,kousou,"dispute, resistance"
構想,kousou,"plan, plot, idea, conception"
後退,koutai,"retreat, backspace"
光沢,koutaku,"luster, glossy finish (of photographs)"
公団,koudan,public corporation
好調,kouchou,"satisfactory, in good shape"
口頭,koutou,oral
講読,koudoku,reading
購読,koudoku,subscription
購入,kounyuu,"purchase, buy"
公認,kounin,"official recognition, authorization"
